timestamp,duree_s
2026-03-18 09:02:18,0.112133
2026-03-18 09:02:20,0.108726
2026-03-18 09:02:21,0.108638
2026-03-18 09:02:22,0.109116
2026-03-18 09:02:23,0.109055
2026-03-18 09:02:24,0.109022
2026-03-18 09:02:25,0.108789
2026-03-18 09:02:26,0.108534
2026-03-18 09:02:27,0.108679
2026-03-18 09:02:28,0.108492
2026-03-18 09:02:30,0.108667
2026-03-18 09:02:31,0.108729
2026-03-18 09:02:32,0.108771
2026-03-18 09:02:33,0.108696
2026-03-18 09:02:34,0.108643
2026-03-18 09:02:35,0.108580
2026-03-18 09:02:36,0.109354
2026-03-18 09:02:37,0.109390
2026-03-18 09:02:38,0.110013
2026-03-18 09:02:40,0.108718
2026-03-18 09:02:41,0.108998
2026-03-18 09:02:42,0.109239
2026-03-18 09:02:43,0.108728
2026-03-18 09:02:44,0.108956
2026-03-18 09:02:45,0.108699
2026-03-18 09:02:46,0.108667
2026-03-18 09:02:47,0.108806
2026-03-18 09:02:48,0.108700
2026-03-18 09:02:50,0.108704
2026-03-18 09:02:51,0.109164
2026-03-18 09:02:52,0.109393
2026-03-18 09:02:53,0.109235
2026-03-18 09:02:54,0.109145
2026-03-18 09:02:55,0.109225
2026-03-18 09:02:56,0.108759
2026-03-18 09:02:57,0.108676
2026-03-18 09:02:58,0.108626
2026-03-18 09:02:59,0.108699
2026-03-18 09:03:01,0.108722
2026-03-18 09:03:02,0.108593
2026-03-18 09:03:03,0.109080
2026-03-18 09:03:04,0.108721
2026-03-18 09:03:05,0.108698
2026-03-18 09:03:06,0.109082
2026-03-18 09:03:07,0.109155
2026-03-18 09:03:08,0.109049
2026-03-18 09:03:09,0.109750
2026-03-18 09:03:11,0.108613
2026-03-18 09:03:12,0.110125
2026-03-18 09:03:13,0.109450
2026-03-18 09:03:14,0.109170
2026-03-18 09:03:15,0.109077
2026-03-18 09:03:16,0.112846
2026-03-18 09:03:17,0.108751
2026-03-18 09:03:18,0.108728
2026-03-18 09:03:19,0.109439
2026-03-18 09:03:21,0.109443
2026-03-18 09:03:22,0.110730
2026-03-18 09:03:23,0.108749
2026-03-18 09:03:24,0.108618
2026-03-18 09:03:25,0.108757
2026-03-18 09:03:26,0.109104
2026-03-18 09:03:27,0.110939
2026-03-18 09:03:28,0.109108
2026-03-18 09:03:29,0.108651
2026-03-18 09:03:31,0.108582
2026-03-18 09:03:32,0.108735
2026-03-18 09:03:33,0.108665
2026-03-18 09:03:34,0.108751
2026-03-18 09:03:35,0.109392
2026-03-18 09:03:36,0.109173
2026-03-18 09:03:37,0.108642
2026-03-18 09:03:38,0.108751
2026-03-18 09:03:39,0.109080
2026-03-18 09:03:41,0.109118
2026-03-18 09:03:42,0.109152
2026-03-18 09:03:43,0.109353
2026-03-18 09:03:44,0.109086
2026-03-18 09:03:45,0.108741
2026-03-18 09:03:46,0.108591
2026-03-18 09:03:47,0.108782
2026-03-18 09:03:48,0.109428
2026-03-18 09:03:49,0.109103
2026-03-18 09:03:51,0.109394
2026-03-18 09:03:52,0.109479
2026-03-18 09:03:53,0.109013
2026-03-18 09:03:54,0.108737
2026-03-18 09:03:55,0.109180
2026-03-18 09:03:56,0.109077
2026-03-18 09:03:57,0.109084
2026-03-18 09:03:58,0.109981
2026-03-18 09:03:59,0.108674
2026-03-18 09:04:01,0.108699
2026-03-18 09:04:02,0.108693
2026-03-18 09:04:03,0.108982
2026-03-18 09:04:04,0.108745
2026-03-18 09:04:05,0.108720
2026-03-18 09:04:06,0.108712
2026-03-18 09:04:07,0.108660
2026-03-18 09:04:08,0.108754
2026-03-18 09:04:09,0.108787
2026-03-18 09:04:11,0.109707
2026-03-18 09:04:12,0.110310
2026-03-18 09:04:13,0.109135
2026-03-18 09:04:14,0.108771
2026-03-18 09:04:15,0.108627
2026-03-18 09:04:16,0.108745
2026-03-18 09:04:17,0.109245
2026-03-18 09:04:18,0.110186
2026-03-18 09:04:19,0.108696
2026-03-18 09:04:21,0.108735
2026-03-18 09:04:22,0.108644
2026-03-18 09:04:23,0.108704
2026-03-18 09:04:24,0.109203
2026-03-18 09:04:25,0.109353
2026-03-18 09:04:26,0.108618
2026-03-18 09:04:27,0.108585
2026-03-18 09:04:28,0.108697
2026-03-18 09:04:29,0.108806
2026-03-18 09:04:30,0.109248
2026-03-18 09:04:32,0.109412
2026-03-18 09:04:33,0.109522
2026-03-18 09:04:34,0.109231
2026-03-18 09:04:35,0.108791
2026-03-18 09:04:36,0.108752
2026-03-18 09:04:37,0.108768
